Time,Vis_val
06:00,46040.0
06:05,46040.0
06:10,44776.0
06:15,43541.0
06:20,43541.0
06:25,42334.0
06:30,44776.0
06:35,47332.0
06:40,44776.0
06:45,43541.0
06:50,46040.0
06:55,46040.0
07:00,47332.0
07:05,46040.0
07:10,44776.0
07:15,46040.0
07:20,46040.0
07:25,44776.0
07:30,44776.0
07:35,44776.0
07:40,42334.0
07:45,41154.0
07:50,40003.0
07:55,40003.0
08:00,37783.0
08:05,33674.0
08:10,30878.0
08:15,34660.0
08:20,37783.0
08:25,37783.0
08:30,32715.0
08:35,32715.0
08:40,33674.0
08:45,32715.0
08:50,28325.0
08:55,29149.0
09:00,31783.0
09:05,32715.0
09:10,28325.0
09:15,28325.0
09:20,30878.0
09:25,30000.0
09:30,29149.0
09:35,27527.0
09:40,26756.0
09:45,23295.0
09:50,23295.0
09:55,24601.0
10:00,23295.0
10:05,23935.0
10:10,22094.0
10:15,22094.0
10:20,21532.0
10:25,22682.0
10:30,26756.0
10:35,23295.0
10:40,21532.0
10:45,22682.0
10:50,20485.0
10:55,18285.0
11:00,19540.0
11:05,20996.0
11:10,20000.0
11:15,18285.0
11:20,17899.0
11:25,19103.0
11:30,20485.0
11:35,20485.0
11:40,20485.0
11:45,20000.0
11:50,18685.0
11:55,18685.0
12:00,18285.0
12:05,18285.0
12:10,20000.0
12:15,20996.0
12:20,19540.0
12:25,18685.0
12:30,18685.0
12:35,17525.0
12:40,16801.0
12:45,17525.0
12:50,20000.0
12:55,20996.0
13:00,20000.0
13:05,17525.0
13:10,17525.0
13:15,17899.0
13:20,16801.0
13:25,16090.0
13:30,15000.0
13:35,14620.0
13:40,15000.0
13:45,14232.0
13:50,14232.0
13:55,15000.0
14:00,15732.0
14:05,15000.0
14:10,13838.0
14:15,13838.0
14:20,13439.0
14:25,13838.0
14:30,14232.0
14:35,13838.0
14:40,14232.0
14:45,14232.0
14:50,14232.0
14:55,14620.0
15:00,14620.0
15:05,14232.0
15:10,13838.0
15:15,13439.0
15:20,13838.0
15:25,14232.0
15:30,13439.0
15:35,12637.0
15:40,13038.0
15:45,13439.0
15:50,13838.0
15:55,13838.0
16:00,13439.0
16:05,13838.0
16:10,13439.0
16:15,13439.0
16:20,13038.0
16:25,12637.0
16:30,13038.0
16:35,13038.0
16:40,13038.0
16:45,13439.0
16:50,13439.0
16:55,13038.0
17:00,13038.0
17:05,13439.0
17:10,13838.0
17:15,13439.0
17:20,13838.0
17:25,13838.0
17:30,13439.0
17:35,13838.0
17:40,14232.0
17:45,14232.0
17:50,13838.0
17:55,13838.0
18:00,14232.0
